            OUT          Right           Left
2024 02 15 00 00        0.43        0.53        0.05
2024 02 15 01 00        0.52        0.43        0.09
2024 02 15 02 00        0.50        0.40        0.11
2024 02 15 03 00        0.51        0.49        0.14
2024 02 15 04 00        0.59        0.58        0.19
2024 02 15 05 00        0.75        0.82        0.32
2024 02 15 06 00        1.23        1.44        0.80
2024 02 15 07 00        2.79        2.30        2.23
2024 02 15 08 00        5.81        3.09        4.17
2024 02 15 09 00        8.53        3.38        5.86
2024 02 15 10 00        9.59        3.29        6.47
2024 02 15 11 00        9.73        3.29        6.26
2024 02 15 12 00       10.15        4.15        6.13
2024 02 15 13 00       11.47        5.82        5.96
2024 02 15 14 00       12.73        7.06        5.72
2024 02 15 15 00       13.41        7.75        5.51
2024 02 15 16 00       13.74        8.15        5.57
2024 02 15 17 00       13.83        8.29        5.50
2024 02 15 18 00       13.64        8.21        5.33
2024 02 15 19 00       13.29        7.99        5.21
2024 02 15 20 00       12.89        7.69        5.13
2024 02 15 21 00       12.45        7.38        5.00
2024 02 15 22 00       11.96        7.05        4.80
2024 02 15 23 00       11.46        6.73        4.63
2024 02 16 00 00       11.01        6.42        4.51
2024 02 16 01 00       10.42        6.07        4.10
2024 02 16 02 00        9.80        5.69        3.83
2024 02 16 03 00        9.22        5.33        3.59
2024 02 16 04 00        8.62        4.98        3.33
2024 02 16 05 00        8.02        4.62        3.10
2024 02 16 06 00        7.44        4.23        1.75
2024 02 16 07 00        6.67        3.87        2.55
2024 02 16 08 00        6.10        3.55        2.39
2024 02 16 09 00        5.41        3.27        2.51
2024 02 16 10 00        4.88        3.03        1.98
2024 02 16 11 00        4.47        2.81        1.78
2024 02 16 12 00        4.14        2.63        1.86
2024 02 16 13 00        3.89        2.46        1.40
2024 02 16 14 00        3.64        2.32        1.52
2024 02 16 15 00        3.44        2.19        1.25
2024 02 16 16 00        3.25        2.07        1.17
2024 02 16 17 00        3.08        1.96        1.12
2024 02 16 18 00        2.91        1.86        1.17
2024 02 16 19 00        2.77        1.76        1.08
2024 02 16 20 00        2.63        1.68        1.07
2024 02 16 21 00        2.51        1.59        1.05
2024 02 16 22 00        2.39        1.52        1.03
2024 02 16 23 00        2.28        1.45        1.02
2024 02 17 00 00        2.17        1.38        1.03
2024 02 17 01 00        2.09        1.32        0.84
2024 02 17 02 00        1.97        1.27        1.40
2024 02 17 03 00        1.88        1.21        1.35
2024 02 17 04 00        1.83        1.16        0.87
2024 02 17 05 00        1.77        1.11        0.77
2024 02 17 06 00        1.70        1.07        0.70
2024 02 17 07 00        1.63        1.03        0.64
2024 02 17 08 00        1.57        0.99        0.58
2024 02 17 09 00        1.51        0.95        0.52
2024 02 17 10 00        1.45        0.91        0.49
2024 02 17 11 00        1.40        0.88        0.47
2024 02 17 12 00        1.35        0.85        0.45
2024 02 17 13 00        1.30        0.82        0.44
2024 02 17 14 00        1.26        0.79        0.42
2024 02 17 15 00        1.22        0.76        0.41
2024 02 17 16 00        1.18        0.74        0.40
2024 02 17 17 00        1.14        0.71        0.39
2024 02 17 18 00        1.10        0.69        0.37
2024 02 17 19 00        1.07        0.67        0.36
2024 02 17 20 00        1.03        0.64        0.35
2024 02 17 21 00        1.00        0.62        0.34
2024 02 17 22 00        0.97        0.60        0.34
2024 02 17 23 00        0.95        0.59        0.33
2024 02 18 00 00        0.92        0.57        0.32
2024 02 18 01 00        0.89        0.55        0.31
2024 02 18 02 00        0.87        0.53        0.30
2024 02 18 03 00        0.85        0.52        0.30
2024 02 18 04 00        0.82        0.50        0.29
2024 02 18 05 00        0.80        0.49        0.28
2024 02 18 06 00        0.78        0.48        0.28
2024 02 18 07 00        0.76        0.46        0.27
2024 02 18 08 00        0.74        0.45        0.27
2024 02 18 09 00        0.72        0.44        0.26
2024 02 18 10 00        0.71        0.43        0.26
2024 02 18 11 00        0.69        0.42        0.25
2024 02 18 12 00        0.67        0.41        0.25
2024 02 18 13 00        0.66        0.40        0.24
2024 02 18 14 00        0.64        0.39        0.24
2024 02 18 15 00        0.63        0.38        0.23
2024 02 18 16 00        0.61        0.37        0.23
2024 02 18 17 00        0.60        0.36        0.22
2024 02 18 18 00        0.59        0.35        0.22
2024 02 18 19 00        0.57        0.34        0.21
2024 02 18 20 00        0.56        0.33        0.21
2024 02 18 21 00        0.55        0.33        0.20
2024 02 18 22 00        0.54        0.32        0.20
2024 02 18 23 00        0.53        0.31        0.20
2024 02 19 00 00        0.52        0.30        0.19
2024 02 19 01 00        0.50        0.30        0.19
2024 02 19 02 00        0.49        0.29        0.19
2024 02 19 03 00        0.48        0.29        0.18
2024 02 19 04 00        0.48        0.28        0.18
2024 02 19 05 00        0.47        0.27        0.18
2024 02 19 06 00        0.46        0.27        0.17
2024 02 19 07 00        0.45        0.26        0.17
2024 02 19 08 00        0.44        0.26        0.17
2024 02 19 09 00        0.43        0.25        0.17
2024 02 19 10 00        0.42        0.25        0.16
2024 02 19 11 00        0.42        0.24        0.16
2024 02 19 12 00        0.41        0.24        0.16
2024 02 19 13 00        0.40        0.23        0.16
2024 02 19 14 00        0.39        0.23        0.15
2024 02 19 15 00        0.39        0.23        0.15
2024 02 19 16 00        0.38        0.22        0.15
2024 02 19 17 00        0.37        0.22        0.15
2024 02 19 18 00        0.37        0.21        0.14
2024 02 19 19 00        0.36        0.21        0.14
2024 02 19 20 00        0.36        0.21        0.14
2024 02 19 21 00        0.35        0.20        0.14
2024 02 19 22 00        0.34        0.20        0.13
2024 02 19 23 00        0.34        0.20        0.13
2024 02 20 00 00        0.33        0.19        0.13
2024 02 20 01 00        0.33        0.19        0.13
2024 02 20 02 00        0.32        0.19        0.13
2024 02 20 03 00        0.32        0.18        0.12
2024 02 20 04 00        0.31        0.18        0.12
2024 02 20 05 00        0.31        0.18        0.12
2024 02 20 06 00        0.30        0.17        0.12
2024 02 20 07 00        0.30        0.17        0.12
2024 02 20 08 00        0.29        0.17        0.11
2024 02 20 09 00        0.29        0.17        0.11
2024 02 20 10 00        0.28        0.16        0.11
2024 02 20 11 00        0.28        0.16        0.11
2024 02 20 12 00        0.27        0.16        0.11
2024 02 20 13 00        0.27        0.16        0.10
2024 02 20 14 00        0.27        0.15        0.10
2024 02 20 15 00        0.26        0.15        0.10
2024 02 20 16 00        0.26        0.15        0.10
2024 02 20 17 00        0.25        0.15        0.10
2024 02 20 18 00        0.25        0.14        0.10
2024 02 20 19 00        0.25        0.14        0.09
2024 02 20 20 00        0.24        0.14        0.09
2024 02 20 21 00        0.24        0.14        0.09
2024 02 20 22 00        0.24        0.14        0.09
2024 02 20 23 00        0.23        0.13        0.09
2024 02 21 00 00        0.23        0.13        0.09
2024 02 21 01 00        0.22        0.13        0.09
2024 02 21 02 00        0.22        0.13        0.08
2024 02 21 03 00        0.22        0.13        0.08
2024 02 21 04 00        0.21        0.13        0.08
2024 02 21 05 00        0.21        0.12        0.08
2024 02 21 06 00        0.21        0.12        0.08
2024 02 21 07 00        0.21        0.12        0.08
2024 02 21 08 00        0.20        0.12        0.08
2024 02 21 09 00        0.20        0.12        0.08
2024 02 21 10 00        0.20        0.12        0.07
2024 02 21 11 00        0.19        0.11        0.07
2024 02 21 12 00        0.19        0.11        0.07
2024 02 21 13 00        0.19        0.11        0.07
2024 02 21 14 00        0.19        0.11        0.07
2024 02 21 15 00        0.18        0.11        0.07
2024 02 21 16 00        0.18        0.11        0.07
2024 02 21 17 00        0.18        0.11        0.07
2024 02 21 18 00        0.18        0.10        0.07
2024 02 21 19 00        0.17        0.10        0.06
2024 02 21 20 00        0.17        0.10        0.06
2024 02 21 21 00        0.17        0.10        0.06
2024 02 21 22 00        0.17        0.10        0.06
2024 02 21 23 00        0.16        0.10        0.06
2024 02 22 00 00        0.16        0.10        0.06
2024 02 22 01 00        0.16        0.09        0.06
2024 02 22 02 00        0.16        0.09        0.06
2024 02 22 03 00        0.16        0.09        0.06
2024 02 22 04 00        0.15        0.09        0.06
2024 02 22 05 00        0.15        0.09        0.06
2024 02 22 06 00        0.15        0.09        0.06
2024 02 22 07 00        0.15        0.09        0.05
2024 02 22 08 00        0.15        0.09        0.05
2024 02 22 09 00        0.14        0.09        0.05
2024 02 22 10 00        0.14        0.08        0.05
2024 02 22 11 00        0.14        0.08        0.05
2024 02 22 12 00        0.14        0.08        0.05
2024 02 22 13 00        0.14        0.08        0.05
2024 02 22 14 00        0.14        0.08        0.05
2024 02 22 15 00        0.13        0.08        0.05
2024 02 22 16 00        0.13        0.08        0.05
2024 02 22 17 00        0.13        0.08        0.05
2024 02 22 18 00        0.13        0.08        0.05
2024 02 22 19 00        0.13        0.08        0.05
2024 02 22 20 00        0.13        0.08        0.05
2024 02 22 21 00        0.12        0.07        0.05
2024 02 22 22 00        0.12        0.07        0.05
2024 02 22 23 00        0.12        0.07        0.04
2024 02 23 00 00        0.12        0.07        0.04
2024 02 23 01 00        0.12        0.07        0.04
2024 02 23 02 00        0.12        0.07        0.04
2024 02 23 03 00        0.12        0.07        0.04
2024 02 23 04 00        0.12        0.07        0.04
2024 02 23 05 00        0.11        0.07        0.04
2024 02 23 06 00        0.11        0.07        0.04
2024 02 23 07 00        0.11        0.07        0.04
2024 02 23 08 00        0.11        0.07        0.04
2024 02 23 09 00        0.11        0.06        0.04
2024 02 23 10 00        0.11        0.06        0.04
2024 02 23 11 00        0.11        0.06        0.04
2024 02 23 12 00        0.11        0.06        0.04
2024 02 23 13 00        0.10        0.06        0.04
2024 02 23 14 00        0.10        0.06        0.04
2024 02 23 15 00        0.10        0.06        0.04
2024 02 23 16 00        0.10        0.06        0.04
2024 02 23 17 00        0.10        0.06        0.04
2024 02 23 18 00        0.10        0.06        0.04
2024 02 23 19 00        0.10        0.06        0.04
2024 02 23 20 00        0.10        0.06        0.04
2024 02 23 21 00        0.10        0.06        0.03
2024 02 23 22 00        0.09        0.06        0.03
2024 02 23 23 00        0.09        0.06        0.03
2024 02 24 00 00        0.09        0.06        0.03
2024 02 24 01 00        0.09        0.05        0.03
2024 02 24 02 00        0.09        0.05        0.03
2024 02 24 03 00        0.09        0.05        0.03
2024 02 24 04 00        0.09        0.05        0.03
2024 02 24 05 00        0.09        0.05        0.03
2024 02 24 06 00        0.09        0.05        0.03
2024 02 24 07 00        0.09        0.05        0.03
2024 02 24 08 00        0.09        0.05        0.03
2024 02 24 09 00        0.08        0.05        0.03
2024 02 24 10 00        0.08        0.05        0.03
2024 02 24 11 00        0.08        0.05        0.03
2024 02 24 12 00        0.08        0.05        0.03
2024 02 24 13 00        0.08        0.05        0.03
2024 02 24 14 00        0.08        0.05        0.03
2024 02 24 15 00        0.08        0.05        0.03
2024 02 24 16 00        0.08        0.05        0.03
2024 02 24 17 00        0.08        0.05        0.03
2024 02 24 18 00        0.08        0.05        0.03
2024 02 24 19 00        0.08        0.05        0.03
2024 02 24 20 00        0.08        0.05        0.03
2024 02 24 21 00        0.08        0.05        0.03
2024 02 24 22 00        0.08        0.05        0.03
2024 02 24 23 00        0.08        0.05        0.03
2024 02 25 00 00        0.08        0.05        0.03
2024 02 25 01 00        0.08        0.05        0.03
2024 02 25 02 00        0.08        0.05        0.03
2024 02 25 03 00        0.08        0.05        0.03
2024 02 25 04 00        0.08        0.05        0.03
2024 02 25 05 00        0.07        0.05        0.03
2024 02 25 06 00        0.07        0.05        0.03
2024 02 25 07 00        0.07        0.05        0.03
2024 02 25 08 00        0.07        0.05        0.03
2024 02 25 09 00        0.07        0.05        0.03
2024 02 25 10 00        0.07        0.05        0.03
2024 02 25 11 00        0.07        0.05        0.03
2024 02 25 12 00        0.07        0.05        0.03
2024 02 25 13 00        0.07        0.04        0.03
2024 02 25 14 00        0.07        0.04        0.03
2024 02 25 15 00        0.07        0.04        0.03
2024 02 25 16 00        0.07        0.04        0.03
2024 02 25 17 00        0.07        0.04        0.03
2024 02 25 18 00        0.07        0.04        0.03
2024 02 25 19 00        0.07        0.04        0.03
2024 02 25 20 00        0.07        0.04        0.03
2024 02 25 21 00        0.07        0.04        0.03
2024 02 25 22 00        0.07        0.04        0.03
2024 02 25 23 00        0.07        0.04        0.03
2024 02 26 00 00        0.07        0.04        0.03
2024 02 26 01 00        0.07        0.04        0.03
2024 02 26 02 00        0.07        0.04        0.03
2024 02 26 03 00        0.07        0.04        0.03
2024 02 26 04 00        0.07        0.04        0.04
2024 02 26 05 00        0.07        0.04        0.04
2024 02 26 06 00        0.07        0.04        0.04
2024 02 26 07 00        0.08        0.04        0.05
2024 02 26 08 00        0.08        0.04        0.05
2024 02 26 09 00        0.08        0.04        0.06
2024 02 26 10 00        0.08        0.04        0.06
2024 02 26 11 00        0.09        0.04        0.07
2024 02 26 12 00        0.09        0.04        0.07
2024 02 26 13 00        0.10        0.04        0.08
2024 02 26 14 00        0.11        0.05        0.09
2024 02 26 15 00        0.11        0.05        0.09
2024 02 26 16 00        0.12        0.05        0.10
2024 02 26 17 00        0.13        0.05        0.11
2024 02 26 18 00        0.14        0.05        0.11
2024 02 26 19 00        0.15        0.05        0.12
2024 02 26 20 00        0.15        0.06        0.12
2024 02 26 21 00        0.16        0.06        0.12
2024 02 26 22 00        0.17        0.06        0.13
2024 02 26 23 00        0.17        0.06        0.13
2024 02 27 00 00        0.18        0.06        0.13
2024 02 27 01 00        0.18        0.06        0.13
2024 02 27 02 00        0.19        0.06        0.13
2024 02 27 03 00        0.19        0.06        0.13
2024 02 27 04 00        0.19        0.06        0.13
2024 02 27 05 00        0.20        0.07        0.13
2024 02 27 06 00        0.20        0.07        0.13
2024 02 27 07 00        0.20        0.06        0.13
2024 02 27 08 00        0.20        0.06        0.13
2024 02 27 09 00        0.20        0.06        0.13
2024 02 27 10 00        0.20        0.06        0.13
2024 02 27 11 00        0.20        0.06        0.13
2024 02 27 12 00        0.20        0.06        0.13
2024 02 27 13 00        0.19        0.06        0.13
2024 02 27 14 00        0.19        0.06        0.13
2024 02 27 15 00        0.19        0.06        0.12
2024 02 27 16 00        0.19        0.06        0.13
2024 02 27 17 00        0.20        0.07        0.13
2024 02 27 18 00        0.22        0.10        0.13
2024 02 27 19 00        0.44        0.32        0.17
2024 02 27 20 00        1.50        1.24        0.33
2024 02 27 21 00        7.50        6.06        1.82
2024 02 27 22 00       25.81       19.27        8.61
2024 02 27 23 00       31.52       22.81       11.49
2024 02 28 00 00       33.83       23.95       12.98
2024 02 28 01 00       36.04       25.08       14.42
2024 02 28 02 00       38.11       26.15       15.76
2024 02 28 03 00       40.32       27.17       17.16
2024 02 28 04 00       42.55       28.16       18.53
2024 02 28 05 00       44.70       29.04       19.88
2024 02 28 06 00       46.77       29.88       21.21
2024 02 28 07 00       48.90       30.80       22.50
2024 02 28 08 00       50.99       31.69       23.72
2024 02 28 09 00       53.08       32.58       24.90
2024 02 28 10 00       55.17       33.48       26.07
2024 02 28 11 00       57.17       34.28       27.22
2024 02 28 12 00       59.17       35.12       28.27
2024 02 28 13 00       61.17       35.97       29.31
2024 02 28 14 00       62.99       36.62       30.32
2024 02 28 15 00       64.92       37.46       31.27
2024 02 28 16 00       66.77       38.28       32.10
2024 02 28 17 00       68.55       39.07       32.89
2024 02 28 18 00       70.25       39.79       33.64
2024 02 28 19 00       71.90       40.55       34.32
2024 02 28 20 00       73.46       41.22       34.97
2024 02 28 21 00       74.75       41.62       35.59
2024 02 28 22 00       76.22       42.30       36.15
2024 02 28 23 00       77.63       42.95       36.67
2024 02 29 00 00       78.89       43.59       37.03
2024 02 29 01 00       80.13       44.20       37.42
2024 02 29 02 00       81.31       44.79       37.79
2024 02 29 03 00       82.42       45.33       38.11
2024 02 29 04 00       83.45       45.83       38.40
2024 02 29 05 00       84.39       46.30       38.62
2024 02 29 06 00       85.15       46.63       38.80
2024 02 29 07 00       85.91       47.05       38.90
2024 02 29 08 00       86.57       47.46       38.91
2024 02 29 09 00       87.12       47.74       38.94
2024 02 29 10 00       87.52       47.94       38.91
2024 02 29 11 00       87.99       48.26       38.84
2024 02 29 12 00       88.39       48.55       38.77
2024 02 29 13 00       88.72       48.79       38.67
2024 02 29 14 00       88.99       49.02       38.53
2024 02 29 15 00       89.20       49.25       38.33
2024 02 29 16 00       89.24       49.34       38.10
2024 02 29 17 00       89.37       49.56       37.87
2024 02 29 18 00       89.28       49.65       37.48
2024 02 29 19 00       89.30       49.83       37.18
2024 02 29 20 00       89.26       49.95       36.88
2024 02 29 21 00       89.11       50.02       36.50
2024 02 29 22 00       88.98       50.15       36.12
2024 02 29 23 00       88.81       50.21       35.75
2024 03 01 00 00       88.55       50.19       35.37
2024 03 01 01 00       88.39       50.31       35.01
2024 03 01 02 00       88.20       50.42       34.63
2024 03 01 03 00       87.91       50.49       34.15
2024 03 01 04 00       87.65       50.56       33.74
2024 03 01 05 00       87.38       50.65       33.31
2024 03 01 06 00       87.13       50.74       32.91
2024 03 01 07 00       86.86       50.84       32.49
2024 03 01 08 00       86.57       50.93       32.05
2024 03 01 09 00       86.28       51.02       31.63
2024 03 01 10 00       85.90       50.97       31.22
2024 03 01 11 00       85.56       50.99       30.81
2024 03 01 12 00       85.25       51.04       30.40
