,Morphological Properties,,,,,,,,,,,,,,,,,,,,,,,,Physiological properties,,,,,,,,,
,Canopy-top height  (m),Canopy-base height (m),Inflection height for leaf-area density (m),vegetation coverage,Leaf angle distribution factor,Leaf width (m),Leaf length (m),Total depth of three moisture layers (m),Rooting depth (m),lai maximum,stem area index,NDVI at 98% of NDVI distribution,NDVI at 5% of NDVI distribution,the fraction of clumped vegetation,Live leaf reflectance to visible,Dead leaf reflectance to visible,Live leaf reflectance to near IR,Dead leaf reflectance to near IR,Live leaf transmittance to visible,Dead leaf transmittance to visible,Live leaf transmittance to near IR,Dead leaf transmittance to near IR,Soil reflectance to visible,Soil reflectance to near IR,Maximum rubsico capacity of top leaf (mol / m2 s),Intrinsic quantum efficiency (mol / mol),Conductance_photosynthesis slope parameter (mol / m2 s),"Minimum stomatal conductance (i.e., Conductance_photosynthesis intercept) (mol / m2 s)","Photosynthesis coupling coeffiicent for wc and we  Note: Photosynthesis coupling coeffiicent for wp,wc and we is independent of vegetation and thus is a constant,",One half point of high temperature inhibition function (K),One half point of low temperature inhibition function (K),One half critical leaf-water potential limit (m),Leaf respiration fraction of vmax0,soil-anisotropic-ration for different vegetation types
,z2,z1,zc,vcover,chil,leafw,leafl,sodep,rootd,laimax,lais,ndvi98,ndvi5,fcl,reflv,refdv,refln,refdn,tranlv,trandv,tranln,trandn,sorefv,sorefn,vmax0,effcon,gradm,binter,atheta,hhti,hlti,phc,respcp,anik
1,35,1,28,1,0.1,0.05,0.1,3.5,1.5,7,0.08,0.611,0.039,0,0.1,0.16,0.45,0.39,0.05,0.001,0.25,0.001,0.11,0.225,1.00E-04,0.08,9,0.01,0.98,313,288,-200,0.015,10
2,20,11.5,17,1,0.25,0.08,0.15,2,1.5,7,0.08,0.721,0.039,0,0.1,0.16,0.45,0.39,0.05,0.001,0.25,0.001,0.11,0.225,1.00E-04,0.08,9,0.01,0.98,311,283,-200,0.015,10
3,20,10,15,1,0.125,0.04,0.1,2,1.5,7.5,0.08,0.721,0.039,0.5,0.07,0.16,0.4,0.39,0.05,0.001,0.15,0.001,0.11,0.225,8.00E-05,0.08,9,0.01,0.98,307,281,-200,0.015,10
4,17,8.5,10,1,0.01,0.001,0.055,2,1.5,8,0.08,0.689,0.039,1,0.07,0.16,0.35,0.39,0.05,0.001,0.1,0.001,0.11,0.225,6.00E-05,0.08,9,0.01,0.98,303,278,-200,0.015,10
5,17,8.5,10,1,0.01,0.001,0.04,2,1.5,8,0.08,0.689,0.039,1,0.07,0.16,0.35,0.39,0.05,0.001,0.1,0.001,0.11,0.225,1.00E-04,0.08,9,0.01,0.98,303,278,-200,0.015,10
6,1,0.1,0.55,1,-0.3,0.01,0.3,1.5,1,5,0.05,0.674,0.039,0,0.105,0.36,0.58,0.58,0.07,0.22,0.25,0.38,0.11,0.225,3.00E-05,0.05,4,0.04,0.8,313,288,-200,0.025,3
7,0.5,0.1,0.3,0.1,0.01,0.003,0.03,1.5,1,5,0.05,0.674,0.039,1,0.1,0.16,0.45,0.39,0.05,0.001,0.25,0.001,0.11,0.225,6.00E-05,0.08,9,0.01,0.98,313,283,-300,0.015,1
8,0.6,0.1,0.35,1,0.2,0.01,0.3,1.5,1,5,0.05,0.674,0.039,0,0.105,0.36,0.58,0.58,0.07,0.22,0.25,0.38,0.11,0.225,6.00E-05,0.08,9,0.01,0.98,303,278,-200,0.015,4
9,1,0.1,0.55,1,-0.3,0.01,0.3,1.5,1,5,0.05,0.674,0.039,0,0.105,0.36,0.58,0.58,0.07,0.22,0.25,0.38,0.1,0.15,1.00E-04,0.08,9,0.01,0.98,308,281,-200,0.015,3
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.08,9,0,0,0,0,-200,0,3
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.08,9,0,0,0,0,-200,0,3
Reflectance data from NASA Earth Radiation Budget Experiment (ERBE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Soil reflectance for grid cells designed as bare soil within biomes 6 and 7
should be specified according to ERBE. Values need calibration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
